,Russian,English
416,Крем-брюле с малиной и свежей мятой,Crème brûlée with raspberries and fresh mint.
417,"Салат из рукколы с грушей, грецким орехом и горгонзолой","Arugula salad with pear, walnuts, and gorgonzola."
418,Мясное ассорти с домашними маринадами,Charcuterie board with homemade pickles.
419,Рагу из косули с красным вином и розмарином,Roe deer stew with red wine and rosemary.
420,Пирог с дикой черникой и ванильным соусом,Wild blueberry pie with vanilla sauce.
421,Сырный фондю с белым вином и хрустящим хлебом,Cheese fondue with white wine and crispy bread.
422,Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame.
423,Лазанья с грибами и сыром рикотта,Mushroom lasagna with ricotta cheese.
424,Креветки в чесночном соусе с чили,Prawns in chili garlic sauce.
425,Каре ягнёнка с мятным желе и молодыми овощами,Lamb rack with mint jelly and baby vegetables.
426,Тыквенный суп-пюре с кокосовым молоком,Pumpkin soup with coconut milk.
427,Фокачча с оливками и розмарином,Focaccia with olives and rosemary.
428,Стейк Рибай с соусом из красного вина,Ribeye steak with red wine sauce.
429,Паста с морепродуктами и томатным соусом,Seafood pasta with tomato sauce.
430,Салат Цезарь с курицей и пармезаном,Caesar salad with chicken and parmesan.
431,Брауни с мороженым и карамельным соусом,Brownie with ice cream and caramel sauce.
432,Тартар из лосося с каперсами и красным луком,Salmon tartare with capers and red onion.
433,Суп Том Ям с креветками и кокосовым молоком,Tom Yum soup with prawns and coconut milk.
434,Картофель гратен с сыром и сливками,Potato gratin with cheese and cream.
435,Куриные крылышки в медово-горчичном соусе,Chicken wings in honey mustard sauce.
436,Салат из свеклы с козьим сыром и грецким орехом,Beetroot salad with goat cheese and walnuts.
437,Пицца Маргарита с томатами и базиликом,Margherita pizza with tomatoes and basil.
438,Греческий салат с фетой и оливками,Greek salad with feta and olives.
439,Суп Гаспачо с хрустящими гренками,Gazpacho soup with crispy croutons.
440,Морской окунь на гриле с лимоном и травами,Grilled sea bass with lemon and herbs.
441,Паштет из печени с клюквенным соусом,Liver pâté with cranberry sauce.
442,Крем-суп из брокколи с сырными гренками,Broccoli cream soup with cheese croutons.
443,Стейк из тунца с соусом терияки,Tuna steak with teriyaki sauce.
444,Ризотто с трюфелями и пармезаном,Truffle risotto with parmesan.
445,"Салат с авокадо, креветками и цитрусовой заправкой",Avocado and prawn salad with citrus dressing.
446,Козье сырное плато с медом и орехами,Goat cheese platter with honey and nuts.
447,Тыквенный равиоли с шалфеем и маслом,Pumpkin ravioli with sage and butter.
448,Салат с копчёной уткой и апельсином,Smoked duck salad with orange.
449,Тайский салат с говядиной и кинзой,Thai beef salad with cilantro.
450,Суп из морепродуктов с шафраном,Seafood soup with saffron.
451,Картофельные драники с сметаной,Potato pancakes with sour cream.
452,Панна-котта с клубникой и бальзамическим соусом,Panna cotta with strawberries and balsamic glaze.
453,Салат с копчёным лососем и авокадо,Smoked salmon and avocado salad.
454,Стейк из свинины с яблочным соусом,Pork steak with apple sauce.
455,Паста Карбонара с беконом и яйцом,Carbonara pasta with bacon and egg.
456,Салат Нисуаз с тунцом и яйцом,Niçoise salad with tuna and egg.
457,Мидии в белом вине с чесноком,Mussels in white wine with garlic.
458,Крем-суп из шампиньонов с травами,Creamy mushroom soup with herbs.
459,Тартар из говядины с перепелиным яйцом,Beef tartare with quail egg.
460,Салат с тёплыми креветками и авокадо,Warm shrimp and avocado salad.
461,Куриная грудка с грибным соусом,Chicken breast with mushroom sauce.
462,Рыбный суп с лососем и шафраном,Fish soup with salmon and saffron.
463,Салат с кускусом и сухофруктами,Couscous salad with dried fruits.
464,Рулетики из баклажанов с сыром и томатами,Eggplant rolls with cheese and tomatoes.
465,Сырный суп с брокколи и гренками,Cheese soup with broccoli and croutons.
466,Паста с артишоками и пармезаном,Pasta with artichokes and parmesan.
467,Салат с копчёной скумбрией и огурцом,Smoked mackerel salad with cucumber.
468,Суп Минестроне с овощами,Minestrone soup with vegetables.
469,Фалафель с соусом тахини,Falafel with tahini sauce.
470,Картофельный суп-пюре с копчёным беконом,Creamy potato soup with smoked bacon.
471,Салат с вялеными томатами и моцареллой,Sun-dried tomato and mozzarella salad.
472,Суп Чорба с бараниной и овощами,Chorba soup with lamb and vegetables.
473,Паста с песто и кедровыми орехами,Pesto pasta with pine nuts.
474,"Салат с курицей, ананасом и кешью",Chicken salad with pineapple and cashews.
475,Суп из нута со шпинатом,Chickpea soup with spinach.
476,Рулетики из цукини с творожным сыром,Zucchini rolls with cream cheese.
477,Салат с фасолью и тунцом,Bean and tuna salad.
478,Суп из чечевицы с копчёностями,Lentil soup with smoked meat.
479,Паста с лососем и сливочным соусом,Pasta with salmon and cream sauce.
480,Салат с киноа и овощами,Quinoa salad with vegetables.
481,Суп из моркови с имбирём,Carrot soup with ginger.
482,Картофельный салат с копчёной скумбрией,Potato salad with smoked mackerel.
483,Паста с грибами и белым вином,Pasta with mushrooms and white wine.
484,Салат с козьим сыром и грушей,Goat cheese and pear salad.
485,Суп из тыквы с корицей,Pumpkin soup with cinnamon.
486,Рулетики из индейки с сыром и шпинатом,Turkey rolls with cheese and spinach.
487,Салат с авокадо и креветками,Avocado and shrimp salad.
488,Суп из фасоли с копчёным беконом,Bean soup with smoked bacon.
489,Паста с кабачками и пармезаном,Pasta with zucchini and parmesan.
490,Салат с курицей и гранатом,Chicken and pomegranate salad.
491,Суп из шпината с кремом,Spinach soup with cream.
492,Рулетики из лосося с сыром и укропом,Salmon rolls with cheese and dill.
493,Салат с грецким орехом и яблоком,Walnut and apple salad.
494,Суп из капусты с копчёностями,Cabbage soup with smoked meat.
495,Паста с песто и помидорами черри,Pesto pasta with cherry tomatoes.
496,Салат с курицей и авокадо,Chicken and avocado salad.
497,Суп из брокколи с сыром,Broccoli soup with cheese.
498,Рулетики из огурца с творожным сыром,Cucumber rolls with cream cheese.
499,Салат с фасолью и кукурузой,Bean and corn salad.
500,Суп из чечевицы с овощами,Lentil soup with vegetables.
501,Паста с морепродуктами и чесноком,Seafood pasta with garlic.
502,Салат с киноа и авокадо,Quinoa and avocado salad.
503,Суп из тыквы с кокосовым молоком,Pumpkin soup with coconut milk.
504,Рулетики из индейки с сыром и помидорами,Turkey rolls with cheese and tomatoes.
505,Салат с авокадо и курицей,Avocado and chicken salad.
506,Суп из фасоли с копчёным беконом,Bean soup with smoked bacon.
507,Паста с кабачками и пармезаном,Pasta with zucchini and parmesan.
508,Салат с курицей и гранатом,Chicken and pomegranate salad.
509,Суп из шпината с кремом,Spinach soup with cream.
510,Рулетики из лосося с сыром и укропом,Salmon rolls with cheese and dill.
511,Салат с грецким орехом и яблоком,Walnut and apple salad.
512,Суп из капусты с копчёностями,Cabbage soup with smoked meat.
514,Суп из белых грибов с лесными травами,Porcini mushroom soup with wild herbs
515,Карпаччо из оленины с маринованными ягодами,Venison carpaccio with marinated berries
516,Салат из копчёного лосося с авокадо и цитрусовым соусом,Smoked salmon salad with avocado and citrus dressing
517,Сэндвич с пастрами из утки и грушевым чатни,Duck pastrami sandwich with pear chutney
518,Пирог с дикой черникой и ванильным кремом,Wild blueberry pie with vanilla cream
519,Ризотто с трюфелями и пармезаном,Truffle risotto with Parmesan
520,Крем-суп из тыквы с кокосовым молоком,Pumpkin cream soup with coconut milk
521,Стейк из тунца с кунжутной корочкой,Tuna steak with sesame crust
522,Брускетта с вялеными томатами и козьим сыром,Bruschetta with sun-dried tomatoes and goat cheese
523,Паста с морепродуктами и шафрановым соусом,Seafood pasta with saffron sauce
524,"Салат из рукколы с грушей, грецким орехом и горгонзолой","Arugula salad with pear, walnuts, and gorgonzola"
525,Печёный картофель с трюфельным маслом и сметаной,Baked potato with truffle oil and sour cream
526,Панна-котта с малиновым кули,Panna cotta with raspberry coulis
527,Котлеты из щуки с лимонным соусом,Pike patties with lemon sauce
528,Стейк из сома с грибным рагу,Catfish steak with mushroom ragout
529,Салат из свёклы с козьим сыром и кедровыми орешками,Beetroot salad with goat cheese and pine nuts
530,Суп из фасоли с копчёной грудинкой,Bean soup with smoked bacon
531,Паста с артишоками и лимонным кремом,Pasta with artichokes and lemon cream
532,Сэндвич с ростбифом и хреном,Roast beef sandwich with horseradish
533,Пирог с ревенём и имбирным кремом,Rhubarb pie with ginger cream
534,Рыбный суп с фенхелем и шафраном,Fish soup with fennel and saffron
535,Карпаччо из тунца с лимонным маслом,Tuna carpaccio with lemon oil
536,Салат из авокадо с креветками и грейпфрутом,Avocado salad with shrimp and grapefruit
537,Крем-суп из брокколи с чеддером,Broccoli cream soup with cheddar
538,Паста с песто из базилика и кедровых орешков,Pasta with basil and pine nut pesto
539,Стейк из лосося с соусом терияки,Salmon steak with teriyaki sauce
540,Салат из моркови с апельсином и мятой,Carrot salad with orange and mint
541,Суп из чечевицы с копчёной колбасой,Lentil soup with smoked sausage
542,Пирог с яблоками и корицей,Apple pie with cinnamon
543,Паста с креветками и чесночным соусом,Pasta with shrimp and garlic sauce
544,Стейк из баранины с розмариновым соусом,Lamb steak with rosemary sauce
545,Салат из огурцов с йогуртом и укропом,Cucumber salad with yogurt and dill
546,Суп из гороха с копчёными рёбрышками,Pea soup with smoked ribs
547,Пирог с грушей и шоколадным соусом,Pear pie with chocolate sauce
548,Паста с томатами и базиликом,Pasta with tomatoes and basil
549,Стейк из свинины с яблочным соусом,Pork steak with apple sauce
550,Салат из капусты с морковью и яблоком,Cabbage salad with carrots and apples
551,Суп из шпината с крем-фреш,Spinach soup with crème fraîche
552,Пирог с вишней и миндальным кремом,Cherry pie with almond cream
553,Паста с беконом и сливочным соусом,Pasta with bacon and creamy sauce
554,Стейк из говядины с красным вином,Beef steak with red wine sauce
555,Салат из зелёной фасоли с миндалём,Green bean salad with almonds
556,Суп из цуккини с мятой,Zucchini soup with mint
557,Пирог с абрикосами и ванильным соусом,Apricot pie with vanilla sauce
558,Паста с кабачками и пармезаном,Pasta with zucchini and Parmesan
559,Стейк из курицы с горчичным соусом,Chicken steak with mustard sauce
560,Салат из фенхеля с апельсином,Fennel salad with orange
561,Суп из картофеля с лососем,Potato soup with salmon
562,Пирог с персиками и карамельным соусом,Peach pie with caramel sauce
563,Паста с грибами и тимьяном,Pasta with mushrooms and thyme
564,Стейк из индейки с клюквенным соусом,Turkey steak with cranberry sauce
565,Салат из томатов с моцареллой и базиликом,Tomato salad with mozzarella and basil
566,Суп из кукурузы с чили,Corn soup with chili
567,Пирог с черносливом и орехами,Prune pie with nuts
568,Паста с лососем и укропом,Pasta with salmon and dill
569,Стейк из утки с апельсиновым соусом,Duck steak with orange sauce
570,Салат из редиса с огурцом,Radish salad with cucumber
571,Суп из моркови с имбирем,Carrot soup with ginger
572,Пирог с малиной и белым шоколадом,Raspberry pie with white chocolate
573,Паста с ветчиной и грибами,Pasta with ham and mushrooms
574,Стейк из свинины с медовым соусом,Pork steak with honey sauce
575,Салат из шпината с кедровыми орешками,Spinach salad with pine nuts
576,Суп из помидоров с базиликом,Tomato soup with basil
577,Пирог с ежевикой и ванильным мороженым,Blackberry pie with vanilla ice cream
578,Паста с курицей и сливочным соусом,Pasta with chicken and creamy sauce
579,Стейк из лосося с цитрусовым соусом,Salmon steak with citrus sauce
580,Салат из свёклы с грецким орехом,Beetroot salad with walnuts
581,Суп из капусты с картофелем,Cabbage soup with potatoes
582,Пирог с бананами и карамелью,Banana pie with caramel
583,Паста с креветками и лимоном,Pasta with shrimp and lemon
584,Стейк из говядины с грибным соусом,Beef steak with mushroom sauce
585,Салат из авокадо с томатами,Avocado salad with tomatoes
586,Суп из тыквы с мускатным орехом,Pumpkin soup with nutmeg
587,Пирог с клубникой и сливочным кремом,Strawberry pie with whipped cream
588,Паста с тунцом и оливками,Pasta with tuna and olives
589,Стейк из баранины с мятным соусом,Lamb steak with mint sauce
590,Салат из моркови с изюмом,Carrot salad with raisins
591,Суп из чечевицы с морковью,Lentil soup with carrots
592,Пирог с яблоками и орехами,Apple pie with nuts
593,Паста с беконом и томатами,Pasta with bacon and tomatoes
594,Стейк из свинины с яблочным пюре,Pork steak with apple purée
595,Салат из огурцов с йогуртом и мятой,Cucumber salad with yogurt and mint
596,Суп из гороха с копчёной колбасой,Pea soup with smoked sausage
597,Пирог с грушей и ванильным соусом,Pear pie with vanilla sauce
598,Паста с шампиньонами и сливочным соусом,Pasta with champignons and creamy sauce
599,Стейк из курицы с чесночным соусом,Chicken steak with garlic sauce
600,Салат из фенхеля с апельсином и оливками,Fennel salad with orange and olives
601,Суп из картофеля с грибами,Potato soup with mushrooms
602,Пирог с персиками и карамелью,Peach pie with caramel
603,Паста с кабачками и кедровыми орешками,Pasta with zucchini and pine nuts
604,Стейк из индейки с клюквенным соусом,Turkey steak with cranberry sauce
605,Салат из томатов с моцареллой и базиликом,Tomato salad with mozzarella and basil
606,Суп из кукурузы с чили и лаймом,Corn soup with chili and lime
607,Пирог с черносливом и миндалём,Prune pie with almonds
608,Паста с лососем и укропом,Pasta with salmon and dill
609,Стейк из утки с апельсиновым соусом,Duck steak with orange sauce
610,Салат из редиса с огурцом и йогуртом,Radish salad with cucumber and yogurt
611,Суп из моркови с имбирем и апельсином,Carrot soup with ginger and orange
612,Пирог с малиной и белым шоколадом,Raspberry pie with white chocolate
613,Паста с ветчиной и грибами в сливочном соусе,Pasta with ham and mushrooms in creamy sauce
