,Russian,English
373,62. **Паста с креветками и сливочным соусом**,Pasta with shrimp and creamy sauce
374,"63. **Салат с курицей, яблоками и орехами**",Chicken salad with apples and nuts
375,64. **Картофельные драники с грибами**,Potato pancakes with mushrooms
376,65. **Суп с горохом и копчеными ребрышками**,Pea soup with smoked ribs
377,66. **Стейк из индейки с клюквенным соусом**,Turkey steak with cranberry sauce
378,"67. **Салат с креветками, авокадо и томатами**",Shrimp salad with avocado and tomatoes
379,68. **Паста с брокколи и сливочным соусом**,Pasta with broccoli and creamy sauce
380,69. **Суп с курицей и вермишелью**,Chicken noodle soup
381,70. **Жареные кабачки с чесноком и травами**,Fried zucchini with garlic and herbs
382,71. **Курица в томатном соусе с базиликом**,Chicken in tomato basil sauce
383,"72. **Салат с говядиной, томатами и огурцами**",Beef salad with tomatoes and cucumbers
384,73. **Томатный суп с гренками и базиликом**,Tomato soup with croutons and basil
385,74. **Жареный рис с курицей и овощами**,Fried rice with chicken and vegetables
386,75. **Стейк из тунца с соусом из лайма**,Tuna steak with lime sauce
387,76. **Сырный фондю с хлебом и виноградом**,Cheese fondue with bread and grapes
388,"77. **Салат с курицей, огурцами и яйцом**",Chicken salad with cucumbers and egg
389,78. **Пирог с рыбой и сыром**,Fish and cheese pie
390,79. **Запеченная рыба с лимоном и укропом**,Baked fish with lemon and dill
391,80. **Крем-суп из шпината с хрустящими гренками**,Spinach cream soup with crispy croutons
392,81. **Паста с лососем и томатным соусом**,Pasta with salmon and tomato sauce
393,"82. **Салат с курицей, ананасом и орехами**",Chicken salad with pineapple and nuts
394,83. **Картофельные драники с сыром**,Potato pancakes with cheese
395,84. **Суп с чечевицей и копченой колбасой**,Lentil soup with smoked sausage
396,85. **Стейк из свинины с ягодным соусом**,Pork steak with berry sauce
397,"86. **Салат с креветками, авокадо и огурцами**",Shrimp salad with avocado and cucumbers
398,87. **Паста с курицей и сливочным соусом**,Pasta with chicken and creamy sauce
399,88. **Суп с курицей и картофелем**,Chicken and potato soup
400,89. **Жареные баклажаны с чесноком и томатами**,Fried eggplant with garlic and tomatoes
401,90. **Курица в апельсиновом соусе с кунжутом**,Chicken in orange sauce with sesame
402,"91. **Салат с тунцом, огурцами и томатами**","Salad with tuna, cucumbers and tomatoes"
403,92. **Томатный суп с базиликом и хрустящими гренками**,Tomato soup with basil and crispy croutons
404,93. **Жареный рис с овощами и креветками**,Fried rice with vegetables and shrimp
405,94. **Стейк из лосося с лимонным соусом**,Salmon steak with lemon sauce
406,95. **Сырный фондю с хлебом и грушами**,Cheese fondue with bread and pears
407,"96. **Салат с курицей, томатами и огурцами**",Chicken salad with tomatoes and cucumbers
408,97. **Пирог с мясом и картофелем**,Meat and potato pie
409,98. **Запеченная рыба с травами и лимоном**,Baked fish with herbs and lemon
410,99. **Крем-суп из тыквы с сырными гренками**,Pumpkin cream soup with cheese croutons
411,100. **Паста с креветками и томатным соусом**,Pasta with shrimp and tomato sauce
412,Вот 100 новых реалистичных позиций меню в формате русский,английский:
413,1. **Карпаччо из оленины с трюфельным маслом и пармезаном**,Venison carpaccio with truffle oil and parmesan.
414,2. **Суп из лесных грибов с копчёным беконом**,Forest mushroom soup with smoked bacon.
415,3. **Форель на гриле с лимонным маслом и зеленью**,Grilled trout with lemon butter and herbs.
416,4. **Крем-брюле с малиной и свежей мятой**,Crème brûlée with raspberries and fresh mint.
417,"5. **Салат из рукколы с грушей, грецким орехом и горгонзолой**","Arugula salad with pear, walnuts, and gorgonzola."
418,6. **Мясное ассорти с домашними маринадами**,Charcuterie board with homemade pickles.
419,7. **Рагу из косули с красным вином и розмарином**,Roe deer stew with red wine and rosemary.
420,8. **Пирог с дикой черникой и ванильным соусом**,Wild blueberry pie with vanilla sauce.
421,9. **Сырный фондю с белым вином и хрустящим хлебом**,Cheese fondue with white wine and crispy bread.
422,10. **Тартар из тунца с авокадо и кунжутом**,Tuna tartare with avocado and sesame.
423,11. **Лазанья с грибами и сыром рикотта**,Mushroom lasagna with ricotta cheese.
424,12. **Креветки в чесночном соусе с чили**,Prawns in chili garlic sauce.
425,13. **Каре ягнёнка с мятным желе и молодыми овощами**,Lamb rack with mint jelly and baby vegetables.
426,14. **Тыквенный суп-пюре с кокосовым молоком**,Pumpkin soup with coconut milk.
427,15. **Фокачча с оливками и розмарином**,Focaccia with olives and rosemary.
428,16. **Стейк Рибай с соусом из красного вина**,Ribeye steak with red wine sauce.
429,17. **Паста с морепродуктами и томатным соусом**,Seafood pasta with tomato sauce.
430,18. **Салат Цезарь с курицей и пармезаном**,Caesar salad with chicken and parmesan.
431,19. **Брауни с мороженым и карамельным соусом**,Brownie with ice cream and caramel sauce.
432,20. **Тартар из лосося с каперсами и красным луком**,Salmon tartare with capers and red onion.
433,21. **Суп Том Ям с креветками и кокосовым молоком**,Tom Yum soup with prawns and coconut milk.
434,22. **Картофель гратен с сыром и сливками**,Potato gratin with cheese and cream.
435,23. **Куриные крылышки в медово-горчичном соусе**,Chicken wings in honey mustard sauce.
436,24. **Салат из свеклы с козьим сыром и грецким орехом**,Beetroot salad with goat cheese and walnuts.
437,25. **Пицца Маргарита с томатами и базиликом**,Margherita pizza with tomatoes and basil.
438,26. **Греческий салат с фетой и оливками**,Greek salad with feta and olives.
439,27. **Суп Гаспачо с хрустящими гренками**,Gazpacho soup with crispy croutons.
440,28. **Морской окунь на гриле с лимоном и травами**,Grilled sea bass with lemon and herbs.
441,29. **Паштет из печени с клюквенным соусом**,Liver pâté with cranberry sauce.
442,30. **Крем-суп из брокколи с сырными гренками**,Broccoli cream soup with cheese croutons.
443,31. **Стейк из тунца с соусом терияки**,Tuna steak with teriyaki sauce.
444,32. **Ризотто с трюфелями и пармезаном**,Truffle risotto with parmesan.
445,"33. **Салат с авокадо, креветками и цитрусовой заправкой**",Avocado and prawn salad with citrus dressing.
446,34. **Козье сырное плато с медом и орехами**,Goat cheese platter with honey and nuts.
447,35. **Тыквенный равиоли с шалфеем и маслом**,Pumpkin ravioli with sage and butter.
448,36. **Салат с копчёной уткой и апельсином**,Smoked duck salad with orange.
449,37. **Тайский салат с говядиной и кинзой**,Thai beef salad with cilantro.
450,38. **Суп из морепродуктов с шафраном**,Seafood soup with saffron.
451,39. **Картофельные драники с сметаной**,Potato pancakes with sour cream.
452,40. **Панна-котта с клубникой и бальзамическим соусом**,Panna cotta with strawberries and balsamic glaze.
453,41. **Салат с копчёным лососем и авокадо**,Smoked salmon and avocado salad.
454,42. **Стейк из свинины с яблочным соусом**,Pork steak with apple sauce.
455,43. **Паста Карбонара с беконом и яйцом**,Carbonara pasta with bacon and egg.
456,44. **Салат Нисуаз с тунцом и яйцом**,Niçoise salad with tuna and egg.
457,45. **Мидии в белом вине с чесноком**,Mussels in white wine with garlic.
458,46. **Крем-суп из шампиньонов с травами**,Creamy mushroom soup with herbs.
459,47. **Тартар из говядины с перепелиным яйцом**,Beef tartare with quail egg.
460,48. **Салат с тёплыми креветками и авокадо**,Warm shrimp and avocado salad.
461,49. **Куриная грудка с грибным соусом**,Chicken breast with mushroom sauce.
462,50. **Рыбный суп с лососем и шафраном**,Fish soup with salmon and saffron.
463,51. **Салат с кускусом и сухофруктами**,Couscous salad with dried fruits.
464,52. **Рулетики из баклажанов с сыром и томатами**,Eggplant rolls with cheese and tomatoes.
465,53. **Сырный суп с брокколи и гренками**,Cheese soup with broccoli and croutons.
466,54. **Паста с артишоками и пармезаном**,Pasta with artichokes and parmesan.
467,55. **Салат с копчёной скумбрией и огурцом**,Smoked mackerel salad with cucumber.
468,56. **Суп Минестроне с овощами**,Minestrone soup with vegetables.
469,57. **Фалафель с соусом тахини**,Falafel with tahini sauce.
470,58. **Картофельный суп-пюре с копчёным беконом**,Creamy potato soup with smoked bacon.
471,59. **Салат с вялеными томатами и моцареллой**,Sun-dried tomato and mozzarella salad.
472,60. **Суп Чорба с бараниной и овощами**,Chorba soup with lamb and vegetables.
473,61. **Паста с песто и кедровыми орехами**,Pesto pasta with pine nuts.
474,"62. **Салат с курицей, ананасом и кешью**",Chicken salad with pineapple and cashews.
475,63. **Суп из нута со шпинатом**,Chickpea soup with spinach.
476,64. **Рулетики из цукини с творожным сыром**,Zucchini rolls with cream cheese.
477,65. **Салат с фасолью и тунцом**,Bean and tuna salad.
478,66. **Суп из чечевицы с копчёностями**,Lentil soup with smoked meat.
479,67. **Паста с лососем и сливочным соусом**,Pasta with salmon and cream sauce.
480,68. **Салат с киноа и овощами**,Quinoa salad with vegetables.
481,69. **Суп из моркови с имбирём**,Carrot soup with ginger.
482,70. **Картофельный салат с копчёной скумбрией**,Potato salad with smoked mackerel.
483,71. **Паста с грибами и белым вином**,Pasta with mushrooms and white wine.
484,72. **Салат с козьим сыром и грушей**,Goat cheese and pear salad.
485,73. **Суп из тыквы с корицей**,Pumpkin soup with cinnamon.
486,74. **Рулетики из индейки с сыром и шпинатом**,Turkey rolls with cheese and spinach.
487,75. **Салат с авокадо и креветками**,Avocado and shrimp salad.
488,76. **Суп из фасоли с копчёным беконом**,Bean soup with smoked bacon.
489,77. **Паста с кабачками и пармезаном**,Pasta with zucchini and parmesan.
490,78. **Салат с курицей и гранатом**,Chicken and pomegranate salad.
491,79. **Суп из шпината с кремом**,Spinach soup with cream.
492,80. **Рулетики из лосося с сыром и укропом**,Salmon rolls with cheese and dill.
493,81. **Салат с грецким орехом и яблоком**,Walnut and apple salad.
494,82. **Суп из капусты с копчёностями**,Cabbage soup with smoked meat.
495,83. **Паста с песто и помидорами черри**,Pesto pasta with cherry tomatoes.
496,84. **Салат с курицей и авокадо**,Chicken and avocado salad.
497,85. **Суп из брокколи с сыром**,Broccoli soup with cheese.
498,86. **Рулетики из огурца с творожным сыром**,Cucumber rolls with cream cheese.
499,87. **Салат с фасолью и кукурузой**,Bean and corn salad.
500,88. **Суп из чечевицы с овощами**,Lentil soup with vegetables.
501,89. **Паста с морепродуктами и чесноком**,Seafood pasta with garlic.
502,90. **Салат с киноа и авокадо**,Quinoa and avocado salad.
503,91. **Суп из тыквы с кокосовым молоком**,Pumpkin soup with coconut milk.
504,92. **Рулетики из индейки с сыром и помидорами**,Turkey rolls with cheese and tomatoes.
505,93. **Салат с авокадо и курицей**,Avocado and chicken salad.
506,94. **Суп из фасоли с копчёным беконом**,Bean soup with smoked bacon.
507,95. **Паста с кабачками и пармезаном**,Pasta with zucchini and parmesan.
508,96. **Салат с курицей и гранатом**,Chicken and pomegranate salad.
509,97. **Суп из шпината с кремом**,Spinach soup with cream.
510,98. **Рулетики из лосося с сыром и укропом**,Salmon rolls with cheese and dill.
511,99. **Салат с грецким орехом и яблоком**,Walnut and apple salad.
512,100. **Суп из капусты с копчёностями**,Cabbage soup with smoked meat.
513,Вот 100 новых позиций меню в том же формате (русский,английский):
514,1. Суп из белых грибов с лесными травами,Porcini mushroom soup with wild herbs
515,2. Карпаччо из оленины с маринованными ягодами,Venison carpaccio with marinated berries
516,3. Салат из копчёного лосося с авокадо и цитрусовым соусом,Smoked salmon salad with avocado and citrus dressing
517,4. Сэндвич с пастрами из утки и грушевым чатни,Duck pastrami sandwich with pear chutney
518,5. Пирог с дикой черникой и ванильным кремом,Wild blueberry pie with vanilla cream
519,6. Ризотто с трюфелями и пармезаном,Truffle risotto with Parmesan
520,7. Крем-суп из тыквы с кокосовым молоком,Pumpkin cream soup with coconut milk
521,8. Стейк из тунца с кунжутной корочкой,Tuna steak with sesame crust
522,9. Брускетта с вялеными томатами и козьим сыром,Bruschetta with sun-dried tomatoes and goat cheese
523,10. Паста с морепродуктами и шафрановым соусом,Seafood pasta with saffron sauce
524,"11. Салат из рукколы с грушей, грецким орехом и горгонзолой","Arugula salad with pear, walnuts, and gorgonzola"
525,12. Печёный картофель с трюфельным маслом и сметаной,Baked potato with truffle oil and sour cream
526,13. Панна-котта с малиновым кули,Panna cotta with raspberry coulis
527,14. Котлеты из щуки с лимонным соусом,Pike patties with lemon sauce
528,15. Стейк из сома с грибным рагу,Catfish steak with mushroom ragout
529,16. Салат из свёклы с козьим сыром и кедровыми орешками,Beetroot salad with goat cheese and pine nuts
530,17. Суп из фасоли с копчёной грудинкой,Bean soup with smoked bacon
531,18. Паста с артишоками и лимонным кремом,Pasta with artichokes and lemon cream
532,19. Сэндвич с ростбифом и хреном,Roast beef sandwich with horseradish
533,20. Пирог с ревенём и имбирным кремом,Rhubarb pie with ginger cream
534,21. Рыбный суп с фенхелем и шафраном,Fish soup with fennel and saffron
535,22. Карпаччо из тунца с лимонным маслом,Tuna carpaccio with lemon oil
536,23. Салат из авокадо с креветками и грейпфрутом,Avocado salad with shrimp and grapefruit
537,24. Крем-суп из брокколи с чеддером,Broccoli cream soup with cheddar
538,25. Паста с песто из базилика и кедровых орешков,Pasta with basil and pine nut pesto
539,26. Стейк из лосося с соусом терияки,Salmon steak with teriyaki sauce
540,27. Салат из моркови с апельсином и мятой,Carrot salad with orange and mint
541,28. Суп из чечевицы с копчёной колбасой,Lentil soup with smoked sausage
542,29. Пирог с яблоками и корицей,Apple pie with cinnamon
543,30. Паста с креветками и чесночным соусом,Pasta with shrimp and garlic sauce
544,31. Стейк из баранины с розмариновым соусом,Lamb steak with rosemary sauce
545,32. Салат из огурцов с йогуртом и укропом,Cucumber salad with yogurt and dill
546,33. Суп из гороха с копчёными рёбрышками,Pea soup with smoked ribs
547,34. Пирог с грушей и шоколадным соусом,Pear pie with chocolate sauce
548,35. Паста с томатами и базиликом,Pasta with tomatoes and basil
549,36. Стейк из свинины с яблочным соусом,Pork steak with apple sauce
550,37. Салат из капусты с морковью и яблоком,Cabbage salad with carrots and apples
551,38. Суп из шпината с крем-фреш,Spinach soup with crème fraîche
552,39. Пирог с вишней и миндальным кремом,Cherry pie with almond cream
553,40. Паста с беконом и сливочным соусом,Pasta with bacon and creamy sauce
554,41. Стейк из говядины с красным вином,Beef steak with red wine sauce
555,42. Салат из зелёной фасоли с миндалём,Green bean salad with almonds
556,43. Суп из цуккини с мятой,Zucchini soup with mint
557,44. Пирог с абрикосами и ванильным соусом,Apricot pie with vanilla sauce
558,45. Паста с кабачками и пармезаном,Pasta with zucchini and Parmesan
559,46. Стейк из курицы с горчичным соусом,Chicken steak with mustard sauce
560,47. Салат из фенхеля с апельсином,Fennel salad with orange
561,48. Суп из картофеля с лососем,Potato soup with salmon
562,49. Пирог с персиками и карамельным соусом,Peach pie with caramel sauce
563,50. Паста с грибами и тимьяном,Pasta with mushrooms and thyme
564,51. Стейк из индейки с клюквенным соусом,Turkey steak with cranberry sauce
565,52. Салат из томатов с моцареллой и базиликом,Tomato salad with mozzarella and basil
566,53. Суп из кукурузы с чили,Corn soup with chili
567,54. Пирог с черносливом и орехами,Prune pie with nuts
568,55. Паста с лососем и укропом,Pasta with salmon and dill
569,56. Стейк из утки с апельсиновым соусом,Duck steak with orange sauce
570,57. Салат из редиса с огурцом,Radish salad with cucumber
571,58. Суп из моркови с имбирем,Carrot soup with ginger
572,59. Пирог с малиной и белым шоколадом,Raspberry pie with white chocolate
573,60. Паста с ветчиной и грибами,Pasta with ham and mushrooms
574,61. Стейк из свинины с медовым соусом,Pork steak with honey sauce
575,62. Салат из шпината с кедровыми орешками,Spinach salad with pine nuts
576,63. Суп из помидоров с базиликом,Tomato soup with basil
577,64. Пирог с ежевикой и ванильным мороженым,Blackberry pie with vanilla ice cream
578,65. Паста с курицей и сливочным соусом,Pasta with chicken and creamy sauce
579,66. Стейк из лосося с цитрусовым соусом,Salmon steak with citrus sauce
580,67. Салат из свёклы с грецким орехом,Beetroot salad with walnuts
581,68. Суп из капусты с картофелем,Cabbage soup with potatoes
582,69. Пирог с бананами и карамелью,Banana pie with caramel
583,70. Паста с креветками и лимоном,Pasta with shrimp and lemon
584,71. Стейк из говядины с грибным соусом,Beef steak with mushroom sauce
585,72. Салат из авокадо с томатами,Avocado salad with tomatoes
586,73. Суп из тыквы с мускатным орехом,Pumpkin soup with nutmeg
587,74. Пирог с клубникой и сливочным кремом,Strawberry pie with whipped cream
588,75. Паста с тунцом и оливками,Pasta with tuna and olives
589,76. Стейк из баранины с мятным соусом,Lamb steak with mint sauce
590,77. Салат из моркови с изюмом,Carrot salad with raisins
591,78. Суп из чечевицы с морковью,Lentil soup with carrots
592,79. Пирог с яблоками и орехами,Apple pie with nuts
593,80. Паста с беконом и томатами,Pasta with bacon and tomatoes
594,81. Стейк из свинины с яблочным пюре,Pork steak with apple purée
595,82. Салат из огурцов с йогуртом и мятой,Cucumber salad with yogurt and mint
596,83. Суп из гороха с копчёной колбасой,Pea soup with smoked sausage
597,84. Пирог с грушей и ванильным соусом,Pear pie with vanilla sauce
598,85. Паста с шампиньонами и сливочным соусом,Pasta with champignons and creamy sauce
599,86. Стейк из курицы с чесночным соусом,Chicken steak with garlic sauce
600,87. Салат из фенхеля с апельсином и оливками,Fennel salad with orange and olives
601,88. Суп из картофеля с грибами,Potato soup with mushrooms
602,89. Пирог с персиками и карамелью,Peach pie with caramel
603,90. Паста с кабачками и кедровыми орешками,Pasta with zucchini and pine nuts
604,91. Стейк из индейки с клюквенным соусом,Turkey steak with cranberry sauce
605,92. Салат из томатов с моцареллой и базиликом,Tomato salad with mozzarella and basil
606,93. Суп из кукурузы с чили и лаймом,Corn soup with chili and lime
607,94. Пирог с черносливом и миндалём,Prune pie with almonds
608,95. Паста с лососем и укропом,Pasta with salmon and dill
609,96. Стейк из утки с апельсиновым соусом,Duck steak with orange sauce
610,97. Салат из редиса с огурцом и йогуртом,Radish salad with cucumber and yogurt
611,98. Суп из моркови с имбирем и апельсином,Carrot soup with ginger and orange
612,99. Пирог с малиной и белым шоколадом,Raspberry pie with white chocolate
613,100. Паста с ветчиной и грибами в сливочном соусе,Pasta with ham and mushrooms in creamy sauce
